Frecuencias,Tiempo,VoltajeCH1,VoltajeCH2,ResolucionVCH1,ResolucionVCH2
18915050.036196534,-3.1299999999999996e-08,-0.06,0.0,0.02,0.0004
18915050.036196534,-3.119999999999999e-08,-0.08,0.0,0.02,0.0004
18915050.036196534,-3.1099999999999994e-08,-0.08,0.0,0.02,0.0004
18915050.036196534,-3.0999999999999986e-08,-0.1,0.0,0.02,0.0004
18915050.036196534,-3.089999999999999e-08,-0.1,0.0,0.02,0.0004
18915050.036196534,-3.0799999999999985e-08,-0.12,0.0,0.02,0.0004
18915050.036196534,-3.069999999999999e-08,-0.12,0.0004,0.02,0.0004
18915050.036196534,-3.0599999999999996e-08,-0.14,0.0004,0.02,0.0004
18915050.036196534,-3.049999999999999e-08,-0.14,0.0004,0.02,0.0004
18915050.036196534,-3.0399999999999994e-08,-0.16,0.0004,0.02,0.0004
18915050.036196534,-3.029999999999999e-08,-0.16,0.0004,0.02,0.0004
18915050.036196534,-3.019999999999999e-08,-0.18,0.0004,0.02,0.0004
18915050.036196534,-3.0099999999999985e-08,-0.18,0.0004,0.02,0.0004
18915050.036196534,-2.999999999999999e-08,-0.18,0.0004,0.02,0.0004
18915050.036196534,-2.9899999999999996e-08,-0.2,0.0004,0.02,0.0004
18915050.036196534,-2.979999999999999e-08,-0.2,0.0004,0.02,0.0004
18915050.036196534,-2.9699999999999995e-08,-0.22,0.0004,0.02,0.0004
18915050.036196534,-2.9599999999999987e-08,-0.22,0.0004,0.02,0.0004
18915050.036196534,-2.9499999999999993e-08,-0.22,0.0,0.02,0.0004
18915050.036196534,-2.9399999999999985e-08,-0.24,0.0,0.02,0.0004
18915050.036196534,-2.929999999999999e-08,-0.24,0.0,0.02,0.0004
18915050.036196534,-2.9199999999999997e-08,-0.24,-0.0004,0.02,0.0004
18915050.036196534,-2.909999999999999e-08,-0.26,-0.0004,0.02,0.0004
18915050.036196534,-2.8999999999999995e-08,-0.26,-0.0008,0.02,0.0004
18915050.036196534,-2.8899999999999987e-08,-0.26,-0.0008,0.02,0.0004
18915050.036196534,-2.8799999999999993e-08,-0.26,-0.0012000000000000001,0.02,0.0004
18915050.036196534,-2.8699999999999986e-08,-0.28,-0.0012000000000000001,0.02,0.0004
18915050.036196534,-2.859999999999999e-08,-0.28,-0.0012000000000000001,0.02,0.0004
18915050.036196534,-2.8499999999999997e-08,-0.28,-0.0016,0.02,0.0004
18915050.036196534,-2.839999999999999e-08,-0.3,-0.0016,0.02,0.0004
18915050.036196534,-2.8299999999999995e-08,-0.3,-0.0016,0.02,0.0004
18915050.036196534,-2.8199999999999988e-08,-0.32,-0.0016,0.02,0.0004
18915050.036196534,-2.8099999999999994e-08,-0.32,-0.0016,0.02,0.0004
18915050.036196534,-2.7999999999999986e-08,-0.34,-0.002,0.02,0.0004
18915050.036196534,-2.7899999999999992e-08,-0.34,-0.002,0.02,0.0004
18915050.036196534,-2.7799999999999984e-08,-0.36,-0.002,0.02,0.0004
18915050.036196534,-2.769999999999999e-08,-0.36,-0.002,0.02,0.0004
18915050.036196534,-2.7599999999999996e-08,-0.38,-0.002,0.02,0.0004
18915050.036196534,-2.7499999999999988e-08,-0.38,-0.0024000000000000002,0.02,0.0004
18915050.036196534,-2.7399999999999994e-08,-0.4,-0.0024000000000000002,0.02,0.0004
18915050.036196534,-2.7299999999999986e-08,-0.4,-0.0024000000000000002,0.02,0.0004
18915050.036196534,-2.7199999999999992e-08,-0.42,-0.0024000000000000002,0.02,0.0004
18915050.036196534,-2.7099999999999985e-08,-0.42,-0.0024000000000000002,0.02,0.0004
18915050.036196534,-2.699999999999999e-08,-0.42,-0.0028,0.02,0.0004
18915050.036196534,-2.6899999999999996e-08,-0.44,-0.0028,0.02,0.0004
18915050.036196534,-2.679999999999999e-08,-0.44,-0.0028,0.02,0.0004
18915050.036196534,-2.6699999999999994e-08,-0.46,-0.0028,0.02,0.0004
18915050.036196534,-2.6599999999999987e-08,-0.46,-0.0028,0.02,0.0004
18915050.036196534,-2.6499999999999992e-08,-0.46,-0.0032,0.02,0.0004
18915050.036196534,-2.6399999999999985e-08,-0.48,-0.0032,0.02,0.0004
18915050.036196534,-2.629999999999999e-08,-0.48,-0.0032,0.02,0.0004
18915050.036196534,-2.6199999999999996e-08,-0.5,-0.0032,0.02,0.0004
18915050.036196534,-2.609999999999999e-08,-0.5,-0.0032,0.02,0.0004
18915050.036196534,-2.5999999999999995e-08,-0.5,-0.0036000000000000003,0.02,0.0004
